id,activity,time,X,Y,Z
1607,A,115668195361371,1.4995794,2.6004226,-0.4864373
1607,A,115668245300910,-0.21017002,2.6270542,-0.40760773
1607,A,115668295237809,-1.1454722,1.1495324,-0.2371654
1607,A,115668345179703,-1.0954047,-0.40149257,-0.33623502
1607,A,115668395144666,-0.23254056,-0.38764414,1.2989459
1607,A,115668445116013,0.18610835,1.2613852,1.0326297
1607,A,115668495082129,-0.5467936,0.990808,0.29120573
1607,A,115668545053954,-0.25384584,0.90665215,-0.007068296
1607,A,115668595028544,-0.5159009,0.4198263,-0.23183909
1607,A,115668645004392,0.99464405,-0.5410422,-0.37564978
1607,A,115668694963644,0.28837374,-0.7125498,-0.47258884
1607,A,115668744931709,0.18819787,0.08540145,-0.34262607
1607,A,115668794904096,0.10723777,0.25584376,0.16976613
1607,A,115668844878554,-0.89304554,0.62442523,0.14313452
1607,A,115668894853891,-0.99424565,1.0217689,0.16017875
1607,A,115668944829620,-0.580923,1.4532009,0.97510606
1607,A,115668994796132,-1.6674927,0.80125916,1.1860284
1607,A,115669044767261,-2.954332,-0.08184507,1.1732452
1607,A,115669094740585,-2.1969292,-0.47599292,2.175659
1607,A,115669144696247,-5.134928,-0.3087464,1.1412873
1607,A,115669194646396,-3.4550064,-0.38011912,0.6896152
1607,A,115669244535173,-1.0858583,-0.13830408,1.1114599
1607,A,115669294494553,-0.23472568,-0.12017222,1.2584664
1607,A,115669344462222,1.604986,0.25906193,1.1423526
1607,A,115669394433956,2.3581278,0.6819719,0.81212056
1607,A,115669444394250,4.4034357,0.5221822,1.353275
1607,A,115669494362201,1.7530577,-0.15745647,0.5159771
1607,A,115669544333961,1.2087076,-0.4536,0.48614967
1607,A,115669594307545,0.55570054,0.038552187,0.17509246
1607,A,115669644281864,0.9530442,-0.0029931266,-0.3351692
1607,A,115669694256480,0.73573023,-2.6991775,0.105850264
1607,A,115669744231123,-0.32207736,-5.734116,0.040869135
1607,A,115669794205635,0.47474042,-5.9812574,-0.5045462
1607,A,115669844179945,2.331487,-5.2888193,-0.24355647
1607,A,115669894154131,1.944796,-4.5601788,-0.97432786
1607,A,115669944128092,-0.08346746,-2.8120797,-1.8776721
1607,A,115669993955589,-1.7356926,-0.3715589,-2.4987214
1607,A,115670043918642,-1.543945,1.767492,-2.6723595
1607,A,115670093886974,0.17858759,2.9286304,-2.4145653
1607,A,115670143814600,2.4561229,3.4655235,-1.6571623
1607,A,115670193754682,3.7674634,3.4452837,-0.8709972
1607,A,115670243690255,2.6851547,3.0138514,0.019563848
1607,A,115670293645930,0.34796464,2.2191641,1.3341001
1607,A,115670343610988,-1.2904121,1.1379207,2.5271964
1607,A,115670393580732,-3.0992382,-0.033858098,3.1802034
1607,A,115670443533912,-5.954147,-0.76036847,3.6531808
1607,A,115670493497693,-7.8577743,-1.4346808,3.894996
1607,A,115670543466733,-6.151221,-1.2312154,3.3346667
1607,A,115670593438361,-2.4686017,-0.2820647,2.316274
1607,A,115670643411189,-0.17295687,0.043906204,1.6685932
