id,activity,time,X,Y,Z
1640,A,172479259623391,1.4473252,0.8496792,2.7153602
1640,A,172479309123391,1.1053754,0.7942854,1.8333211
1640,A,172479358623391,0.2148143,0.49920714,0.79681885
1640,A,172479408123391,-0.71516156,-0.070709325,-0.09267694
1640,A,172479457623391,-1.0347409,-0.42863816,-0.92464846
1640,A,172479507123391,-1.1540505,-0.65660477,-1.7310536
1640,A,172479556623391,-0.5351319,-0.93570405,-2.5406547
1640,A,172479606123391,-0.55004555,-0.9303777,-2.892192
1640,A,172479655623391,-0.970825,-0.67791003,-2.482065
1640,A,172479705123391,-1.6227669,-0.43502975,-2.0783298
1640,A,172479754623391,-1.7335544,-0.3050675,-2.1923132
1640,A,172479804123391,-1.2722949,-0.25926113,-2.288187
1640,A,172479853623391,-0.35297164,-0.5692531,-2.2583594
1640,A,172479903123391,0.3916482,-0.5564699,-1.4114743
1640,A,172479952623391,0.1967048,-0.44035608,0.44421634
1640,A,172480002123391,-0.5404582,0.14021303,1.6181377
1640,A,172480051623391,0.7932529,0.11890774,2.2264037
1640,A,172480101123391,2.743752,0.8454181,2.3872585
1640,A,172480150767061,2.5733097,1.1138648,2.380867
1640,A,172480200410731,1.6081802,0.7303695,2.8293433
1640,A,172480250054401,1.3248198,0.7665885,3.0711584
1640,A,172480299698071,1.6625086,0.9711193,2.5864632
1640,A,172480349341741,1.3674304,0.9796414,1.7736664
1640,A,172480398985411,0.38632187,0.744218,0.9214548
1640,A,172480448629081,-0.90690917,0.30745956,0.119310685
1640,A,172480498272751,-0.9111702,-0.42011607,-0.7850988
1640,A,172480547916421,-1.0624378,-0.47764033,-1.6351799
1640,A,172480597560091,-0.5575024,-0.97618407,-2.2658165
1640,A,172480647203761,-0.40090853,-1.297894,-2.9379983
1640,A,172480696847431,-0.95165026,-0.92611665,-2.9358678
1640,A,172480746491101,-1.8102534,-0.44461715,-2.2093573
1640,A,172480796134771,-2.0552642,-0.46592242,-1.8908433
1640,A,172480845778441,-1.6504637,-0.29974118,-1.9068222
1640,A,172480895422111,-0.88560385,-0.21984634,-1.6895083
1640,A,172480945065781,-0.18572512,-0.3530044,-1.1675287
1640,A,172480994709451,-0.45417175,-0.11118937,-0.0021294635
1640,A,172481044353121,-0.49358654,-0.056860887,1.1355729
1640,A,172481093996791,0.23292379,-0.1761705,1.2953626
1640,A,172481143640461,2.5306993,0.31278586,1.679923
1640,A,172481193365831,3.0079377,0.768719,1.7939063
1640,A,172481243091201,2.1578567,0.784698,2.4074986
1640,A,172481292816571,1.2662303,0.8592665,3.0381353
1640,A,172481342541941,1.3301462,0.9785761,2.9369352
1640,A,172481392267311,1.4558474,0.9668582,2.2775364
1640,A,172481441992681,1.0744827,0.78789383,1.4349122
1640,A,172481491718051,0.3799303,0.3894849,0.36858255
1640,A,172481541443421,-0.12820084,-0.35833073,-0.52304375
1640,A,172481591168791,-0.1026345,-0.82278603,-1.3156005
1640,A,172481640894161,0.044371992,-1.3799193,-1.8514285
1640,A,172481690619531,0.03904567,-1.6185385,-2.3031006
1640,A,172481740344901,-0.9676292,-1.3554182,-2.5566335
1640,A,172481790070271,-2.187357,-0.58203626,-1.921736
1640,A,172481839795641,-2.3173192,-0.5394257,-1.4817817
1640,A,172481889521011,-1.8709735,-0.40839815,-1.6692683
1640,A,172481939246381,-1.1497895,-0.24541269,-1.7182704
1640,A,172481988971751,-0.6150267,-0.3135896,-1.4157354
1640,A,172482038697121,-0.47015074,-0.23476005,-0.5464796
1640,A,172482088422491,-0.5820035,-0.5106635,0.71798927
1640,A,172482138147861,-0.2432494,-0.2209116,1.0982887
1640,A,172482187873231,1.3898009,0.0603182,1.470066
1640,A,172482237647581,2.509394,0.764458,1.8674096
1640,A,172482287421931,2.0939407,0.8986813,2.1081593
1640,A,172482337196281,1.2033796,0.65154,2.537461
1640,A,172482386970631,1.0606343,0.6494094,2.7260127
1640,A,172482436744981,1.2981882,0.7974812,2.3467786
1640,A,172482486519331,1.2119018,0.8656581,1.6010935
1640,A,172482536293681,0.65902954,0.62810415,0.5592649
1640,A,172482586068031,-0.5106308,0.18708467,-0.40053836
1640,A,172482635842381,-0.90690917,-0.33915597,-1.0492843
1640,A,172482685616731,-1.0933304,-0.37004864,-1.6586157
1640,A,172482735391081,-0.6033088,-0.8558092,-2.111353
1640,A,172482785165431,-0.68533415,-1.0901674,-2.373408
1640,A,172482834939781,-1.4512593,-0.46592242,-1.8216012
1640,A,172482884714131,-1.8645818,-0.19428,-1.1355708
1640,A,172482934488481,-1.6089184,-0.14421257,-1.2825773
1640,A,172482984262831,-1.0848083,0.048600294,-1.6671377
1640,A,172483034037181,-0.5308708,-0.20493264,-1.8631464
1640,A,172483083811531,-0.09198186,-0.39987603,-1.5275881
1640,A,172483133585881,-0.20916094,-0.4691182,-0.29294667
1640,A,172483183360231,-0.26348943,-0.13888624,1.0993539
