SubjectID,ActivityCode,Timestamp,X,Y,Z
1609,A,855029479388568,0.23672625,-0.9256735,2.0286663
1609,A,855029528888568,1.0548494,-1.2324697,2.571951
1609,A,855029578388568,0.6575057,-0.87986714,2.9288146
1609,A,855029627888568,1.2135737,-1.0247431,3.0001874
1609,A,855029677388568,1.6684417,-0.77440596,2.906444
1609,A,855029726888568,1.822905,-0.44950032,2.6262796
1609,A,855029776388568,1.4063866,-0.1565526,2.22574
1609,A,855029825888568,0.62341726,0.119350895,1.3937685
1609,A,855029875388568,-0.87967086,0.75744426,0.2954809
1609,A,855029924888568,-2.4253695,0.7680969,-0.96898794
1609,A,855029974388568,-2.525564,0.84483457,-1.9511676
1609,A,855030023888568,-1.5093018,0.9939716,-2.7533116
1609,A,855030073388568,-0.07332534,0.60408485,-3.2965965
1609,A,855030122888568,1.3796953,0.431512,-3.402058
1609,A,855030172388568,1.9837003,0.025646241,-3.2635734
1609,A,855030221888568,1.6705126,-0.21190773,-2.7288105
1609,A,855030271388568,0.77142936,0.053343117,-2.1407847
1609,A,855030320888568,-1.3303374,0.5827795,-1.4132091
1609,A,855030370496468,-1.9971929,0.18010959,-0.8102694
1609,A,855030420104368,-1.4911923,0.01605886,-0.05286641
1609,A,855030469712268,-0.6879829,0.038429413,0.81106305
1609,A,855030519320168,0.01935266,-0.06064018,1.4363732
1609,A,855030568928068,-0.71781033,0.057604175,2.2502353
1609,A,855030618535968,-0.04030215,-1.083294,2.8606317
1609,A,855030668143868,0.19725181,-1.2153869,2.8989813
1609,A,855030717751768,0.9226969,-1.0353571,2.9383962
1609,A,855030767359668,1.9837003,-0.93948334,2.8478487
1609,A,855030816967568,2.2596037,-0.55172706,2.7541053
1609,A,855030866575468,2.0369635,-0.27049726,2.3961766
1609,A,855030916183368,0.7724946,0.10341054,1.7985631
1609,A,855030965791268,-0.91488427,-0.009507485,0.5958796
1609,A,855031015399168,-2.4147766,0.4485562,-0.95088434
1609,A,855031065007068,-2.0664465,0.124723025,-2.2355943
1609,A,855031114614968,-0.22566961,0.50608766,-3.1240249
1609,A,855031164222868,1.1911321,0.10341773,-3.5309558
1609,A,855031213830768,1.6172378,-0.13839729,-3.4244294
1609,A,855031263438668,1.0846057,-0.08513407,-3.0547826
1609,A,855031313046568,-0.44085303,-0.21083528,-2.4390597
1609,A,855031362654468,-1.2280835,-0.19059525,-1.920276
1609,A,855031412324978,-1.729823,0.29623058,-1.4888439
1609,A,855031461995488,-1.4443321,0.25894633,-1.1650035
1609,A,855031511665998,-0.38972032,0.39316967,-0.61958814
1609,A,855031561336508,0.5764745,0.104483,0.37962988
1609,A,855031611007018,3.2460144,0.3665463,2.5751386
1609,A,855031660677528,6.274561,0.5497718,5.24043
1609,A,855031710348038,7.2886925,2.233955,6.1245995
1609,A,855031760018548,7.857544,3.8201337,5.3650656
1609,A,855031809689058,4.167468,4.360223,4.5139194
1609,A,855031859359568,3.748819,3.5538175,3.588205
1609,A,855031909030078,3.941632,2.6589954,3.1557076
1609,A,855031958700588,3.816996,1.7215626,2.637989
1609,A,855032008371098,2.8891509,1.4563118,2.3141487
1609,A,855032058041608,1.6236167,0.9662902,1.8028219
1609,A,855032107712118,0.799102,0.33884943,1.6451627
1609,A,855032157382628,0.90667796,-0.5591584,1.0827014
1609,A,855032207053138,-0.8062672,-0.4441098,0.34021217
1609,A,855032256723648,-0.13195483,-1.017222,0.33808163
1609,A,855032306394158,-0.24167708,-1.1940559,0.007849667
1609,A,855032356064668,-0.30452767,-1.1099001,-0.3799066
1609,A,855032405735178,-0.17136963,-0.7327965,-0.32770863
1609,A,855032455446048,0.31226042,-0.50802565,-0.3969508
1609,A,855032505156918,-0.2320897,0.39212278,-0.33623075
1609,A,855032554867788,-0.009449428,1.1207637,0.3455385
1609,A,855032604578658,0.69255984,1.4275599,0.29653633
1609,A,855032654289528,0.46139744,1.52876,0.05898236
1609,A,855032704000398,0.41027194,1.3231593,0.01104626
1609,A,855032753711268,0.08323577,0.9034452,-0.26805303
1609,A,855032803422138,-0.27469307,0.375074,-0.24461721
1609,A,855032853133008,-0.35671845,0.055494685,-0.08376227
1609,A,855032902843878,-1.3484796,0.17800009,-0.211594
1609,A,855032952554748,-2.1058826,0.13858531,-0.32877308
1609,A,855033002265618,-2.606557,-0.15862347,-0.9061464
1609,A,855033051976488,-2.7226708,-0.2960426,-0.79216313
1609,A,855033101687358,-1.3996123,-0.7296052,-0.7463567
1609,A,855033151398228,-1.3388922,-1.1322751,-1.1927025
1609,A,855033201109098,-1.1247741,-1.4635724,-1.7690105
1609,A,855033250819968,-1.6030749,-2.3072636,-2.2537057
1609,A,855033300530838,-1.4997443,-3.19889,-2.871559
