SubjectID,ActivityCode,Timestamp,X,Y,Z
1635,A,64768387541043,8.114398,-6.5786676,0.36257192
1635,A,64768437041043,8.212561,-6.91625,-0.5065233
1635,A,64768486541043,6.433669,-6.43741,0.92042094
1635,A,64768536041043,6.1200285,-6.3272767,1.5764322
1635,A,64768585541043,6.0601735,-6.3129115,2.0265422
1635,A,64768635041043,6.316353,-5.659294,2.2061071
1635,A,64768684541043,12.847735,-8.321647,3.1685762
1635,A,64768734041043,19.52696,-10.787674,2.4239795
1635,A,64768783541043,16.101456,-6.8731546,2.665794
1635,A,64768833041043,11.834988,-5.134964,1.6267104
1635,A,64768882541043,7.8582187,-4.220379,2.0863972
1635,A,64768932041043,6.867019,-2.1972785,0.6163573
1635,A,64768981541043,6.919692,-2.190096,-0.0013467384
1635,A,64769031041043,6.7018194,-1.0073603,-0.34371758
1635,A,64769080541043,5.8518777,-1.323395,-0.8417115
1635,A,64769130041043,4.848707,-2.6856956,-1.5216649
1635,A,64769179541043,6.282834,-4.244321,-1.1840824
1635,A,64769229041043,8.363396,-5.173271,0.5900211
1635,A,64769278541043,15.308974,-6.959346,2.000206
1635,A,64769328139423,13.343335,-6.0687027,3.118298
1635,A,64769377737803,8.100033,-6.3607955,3.9730282
1635,A,64769427336183,7.1662946,-5.1038394,3.8389528
1635,A,64769476934563,8.076091,-6.1381345,2.1941361
1635,A,64769526532943,8.368184,-6.875549,2.0456958
1635,A,64769576131323,9.582044,-9.0016,3.958663
1635,A,64769625729703,11.394455,-8.350377,3.295469
1635,A,64769675328083,12.378471,-7.603386,3.87726
1635,A,64769724926463,12.127081,-6.959346,2.854936
1635,A,64769774524843,14.049624,-7.7853456,1.4950293
1635,A,64769824123223,11.274745,-6.727108,1.0951977
1635,A,64769873721603,10.5086,-5.503671,0.6139631
1635,A,64769923319983,14.90196,-4.9841294,-0.5304653
1635,A,64769972918363,14.995335,-8.309675,1.0760441
1635,A,64770022516743,8.933215,-6.214749,1.420809
1635,A,64770072115123,3.6827312,-2.879626,-0.4873697
